model,case,event
model1,0,A
model1,1,A
model1,0,B
model1,2,A
model1,1,B
model1,3,A
model1,0,C
model1,2,B
model1,4,A
model1,1,C
model1,3,D
model1,0,A
model1,2,C
model1,5,A
model1,4,B
model1,1,A
model1,0,B
model1,2,A
model1,6,A
model1,3,F
model1,5,D
model1,7,A
model1,1,B
model1,4,C
model1,3,E
model1,2,D
model1,6,B
model1,0,C
model1,8,A
model1,5,F
model1,7,B
model1,4,A
model1,1,C
model1,6,C
model1,2,F
model1,3,H
model1,9,A
model1,0,A
model1,8,B
model1,10,A
model1,1,A
model1,7,C
model1,5,E
model1,6,A
model1,4,B
model1,2,E
model1,9,B
model1,0,B
model1,11,A
model1,1,D
model1,8,C
model1,6,B
model1,7,A
model1,10,B
model1,5,H
model1,2,H
model1,4,C
model1,12,A
model1,9,C
model1,11,B
model1,0,C
model1,1,F
model1,8,A
model1,13,A
model1,7,D
model1,6,C
model1,9,A
model1,4,A
model1,10,C
model1,12,B
model1,14,A
model1,8,B
model1,0,A
model1,11,C
model1,1,E
model1,6,A
model1,13,B
model1,7,F
model1,10,A
model1,9,D
model1,15,A
model1,4,B
model1,12,C
model1,1,H
model1,14,D
model1,11,A
model1,6,B
model1,8,C
model1,13,C
model1,0,D
model1,16,A
model1,10,B
model1,7,E
model1,4,C
model1,12,A
model1,15,D
model1,9,F
model1,17,A
model1,6,C
model1,13,A
model1,8,A
model1,14,F
model1,0,F
model1,11,B
model1,16,D
model1,12,B
model1,7,I
model1,10,C
model1,15,F
model1,18,A
model1,4,A
model1,9,E
model1,13,D
model1,6,A
model1,17,D
model1,8,D
model1,11,C
model1,14,E
model1,0,E
model1,12,C
model1,19,A
model1,16,F
model1,7,J
model1,4,D
model1,18,B
model1,10,A
model1,15,E
model1,9,I
model1,13,F
model1,20,A
model1,8,F
model1,6,D
model1,17,F
model1,14,H
model1,12,A
model1,0,I
model1,11,A
model1,4,F
model1,19,B
model1,7,K
model1,16,E
model1,18,C
model1,10,B
model1,21,A
model1,9,J
model1,15,I
model1,13,E
model1,8,E
model1,20,B
model1,17,E
model1,6,F
model1,0,J
model1,12,B
model1,11,D
model1,4,E
model1,22,A
model1,19,C
model1,16,H
model1,7,M
model1,21,D
model1,10,C
model1,18,A
model1,13,I
model1,9,K
model1,15,J
model1,20,C
model1,8,I
model1,17,I
model1,23,A
model1,6,E
model1,12,C
model1,0,L
model1,22,D
model1,19,A
model1,11,F
model1,21,F
model1,4,H
model1,10,A
model1,7,N
model1,24,A
model1,9,M
model1,17,J
model1,15,K
model1,6,H
model1,18,B
model1,13,J
model1,23,D
model1,8,J
model1,20,A
model1,19,B
model1,0,M
model1,22,F
model1,12,A
model1,25,A
model1,11,E
model1,21,E
model1,10,D
model1,9,O
model1,24,B
model1,18,C
model1,15,M
model1,8,K
model1,23,F
model1,17,K
model1,26,A
model1,20,B
model1,13,L
model1,25,D
model1,0,N
model1,12,B
model1,19,C
model1,10,F
model1,22,E
model1,11,I
model1,21,H
model1,27,A
model1,24,C
model1,8,M
model1,18,A
model1,15,N
model1,23,E
model1,17,M
model1,13,M
model1,25,F
model1,26,B
model1,20,C
model1,12,C
model1,19,A
model1,28,A
model1,10,E
model1,22,I
model1,11,J
model1,27,B
model1,24,A
model1,8,O
model1,18,B
model1,17,N
model1,29,A
model1,26,C
model1,23,I
model1,25,E
model1,12,A
model1,13,N
model1,20,A
model1,19,D
model1,22,J
model1,28,D
model1,10,I
model1,11,K
model1,27,C
model1,24,B
model1,30,A
model1,18,C
model1,26,A
model1,29,D
model1,12,B
model1,25,H
model1,20,B
model1,19,F
model1,23,J
model1,10,J
model1,31,A
model1,28,F
model1,22,K
model1,27,A
model1,11,M
model1,24,C
model1,30,D
model1,18,A
model1,26,D
model1,32,A
model1,19,E
model1,29,F
model1,20,C
model1,23,K
model1,12,C
model1,10,K
model1,27,D
model1,31,B
model1,11,O
model1,24,A
model1,28,E
model1,30,F
model1,22,M
model1,33,A
model1,19,I
model1,26,F
model1,18,B
model1,29,E
model1,32,B
model1,20,A
model1,27,F
model1,23,M
model1,10,M
model1,12,A
model1,34,A
model1,31,C
model1,24,B
model1,28,I
model1,30,E
model1,33,B
model1,29,H
model1,18,C
model1,32,C
model1,22,N
model1,19,J
model1,26,E
model1,35,A
model1,27,E
model1,20,B
model1,23,O
model1,10,N
model1,12,D
model1,34,D
model1,24,C
model1,31,A
model1,30,I
model1,28,J
model1,36,A
model1,18,A
model1,33,C
model1,32,A
model1,19,L
model1,26,H
model1,35,B
model1,27,I
model1,20,C
model1,37,A
model1,24,A
model1,31,D
model1,36,D
model1,28,K
model1,34,F
model1,12,F
model1,30,J
model1,33,A
model1,18,D
model1,32,B
model1,35,C
model1,38,A
model1,19,M
model1,27,J
model1,20,A
model1,36,F
model1,37,D
model1,33,B
model1,31,F
model1,34,E
model1,28,M
model1,12,E
model1,39,A
model1,24,B
model1,30,K
model1,18,F
model1,35,A
model1,32,C
model1,38,B
model1,19,O
model1,20,D
model1,40,A
model1,27,K
model1,37,F
model1,34,I
model1,28,O
model1,33,C
model1,12,I
model1,36,E
model1,30,M
model1,31,E
model1,39,B
model1,24,C
model1,35,B
model1,38,C
model1,18,E
model1,41,A
model1,32,A
model1,20,F
model1,27,M
model1,40,B
model1,37,E
model1,30,O
model1,33,A
model1,36,I
model1,34,J
model1,42,A
model1,12,J
model1,31,I
model1,39,C
model1,35,C
model1,24,A
model1,38,A
model1,18,I
model1,41,B
model1,32,D
model1,20,E
model1,43,A
model1,27,N
model1,40,C
model1,37,H
model1,33,B
model1,34,L
model1,35,A
model1,42,D
model1,39,A
model1,36,J
model1,31,J
model1,12,K
model1,32,F
model1,24,D
model1,38,B
model1,44,A
model1,18,J
model1,41,C
model1,20,I
model1,43,D
model1,40,A
model1,36,K
model1,39,B
model1,33,C
model1,42,F
model1,34,M
model1,45,A
model1,35,B
model1,32,E
model1,31,L
model1,12,M
model1,41,A
model1,24,F
model1,20,J
model1,44,B
model1,18,K
model1,43,F
model1,36,M
model1,38,C
model1,40,D
model1,46,A
model1,33,A
model1,35,C
model1,42,E
model1,39,C
model1,45,D
model1,34,O
model1,12,N
model1,32,I
model1,24,E
model1,31,M
model1,47,A
model1,20,K
model1,38,A
model1,41,D
model1,44,C
model1,43,E
model1,18,M
model1,40,F
model1,36,O
model1,46,B
model1,39,A
model1,45,F
model1,42,I
model1,35,A
model1,48,A
model1,33,B
model1,32,J
model1,31,N
model1,20,M
model1,24,H
model1,44,A
model1,38,B
model1,47,D
model1,18,O
model1,43,H
model1,41,F
model1,49,A
model1,40,E
model1,39,B
model1,45,E
model1,46,C
model1,42,J
model1,48,D
model1,44,D
model1,35,B
model1,33,C
model1,20,N
model1,32,K
model1,38,C
model1,50,A
model1,47,F
model1,46,A
model1,45,I
model1,41,E
model1,40,H
model1,49,B
model1,39,C
model1,42,K
model1,44,F
model1,51,A
model1,32,M
model1,33,A
model1,35,C
model1,48,F
model1,38,A
model1,50,B
model1,45,J
model1,47,E
model1,41,H
model1,42,M
model1,52,A
model1,46,D
model1,49,C
model1,39,A
model1,44,E
model1,51,B
model1,33,B
model1,32,N
model1,48,E
model1,35,A
model1,38,D
model1,53,A
model1,50,C
model1,45,K
model1,46,F
model1,52,D
model1,42,N
model1,47,H
model1,39,B
model1,49,A
model1,48,I
model1,35,B
model1,54,A
model1,51,C
model1,44,I
model1,33,C
model1,53,D
model1,38,F
model1,50,A
model1,45,M
model1,52,F
model1,46,E
model1,55,A
model1,48,J
model1,51,A
model1,39,C
model1,49,D
model1,54,D
model1,44,J
model1,33,A
model1,35,C
model1,53,F
model1,50,D
model1,56,A
model1,45,O
model1,38,E
model1,46,I
model1,55,B
model1,39,A
model1,48,L
model1,52,E
model1,51,D
model1,57,A
model1,54,F
