model,case,event
model1,0,A
model1,1,A
model1,0,B
model1,2,A
model1,1,B
model1,0,C
model1,3,A
model1,2,B
model1,4,A
model1,0,A
model1,1,C
model1,3,D
model1,2,C
model1,5,A
model1,4,D
model1,1,A
model1,0,D
model1,6,A
model1,3,F
model1,2,A
model1,5,B
model1,4,F
model1,7,A
model1,1,D
model1,0,F
model1,6,B
model1,3,E
model1,4,E
model1,8,A
model1,2,D
model1,5,C
model1,7,B
model1,1,F
model1,6,C
model1,0,E
model1,9,A
model1,2,F
model1,3,G
model1,4,G
model1,5,A
model1,8,B
model1,7,C
model1,10,A
model1,6,A
model1,0,G
model1,1,E
model1,3,M
model1,9,D
model1,2,E
model1,4,H
model1,11,A
model1,5,D
model1,7,A
model1,8,C
model1,6,D
model1,10,D
model1,1,G
model1,0,M
model1,9,F
model1,12,A
model1,2,G
model1,11,B
model1,5,F
model1,3,L
model1,8,A
model1,7,D
model1,13,A
model1,6,F
model1,1,H
model1,0,K
model1,10,F
model1,9,E
model1,2,M
model1,12,B
model1,3,I
model1,5,E
model1,14,A
model1,11,C
model1,8,B
model1,6,E
model1,7,F
model1,13,D
model1,10,E
model1,0,I
model1,9,G
model1,2,L
model1,15,A
model1,12,C
model1,3,J
model1,14,D
model1,5,G
model1,11,A
model1,8,C
model1,7,E
model1,6,G
model1,16,A
model1,13,F
model1,10,G
model1,0,J
model1,9,M
model1,2,I
model1,15,D
model1,5,H
model1,12,A
model1,3,O
model1,17,A
model1,14,F
model1,16,D
model1,8,A
model1,11,D
model1,7,G
model1,6,M
model1,10,M
model1,9,K
model1,2,J
model1,15,F
model1,18,A
model1,13,E
model1,12,B
model1,0,O
model1,17,B
model1,14,E
model1,16,F
model1,8,D
model1,11,F
model1,10,K
model1,19,A
model1,7,M
model1,2,N
model1,6,L
model1,9,I
model1,18,D
model1,12,C
model1,13,G
model1,15,E
model1,17,C
model1,16,E
model1,20,A
model1,14,G
model1,8,F
model1,10,I
model1,7,L
model1,18,F
model1,19,D
model1,11,E
model1,9,J
model1,6,I
model1,13,M
model1,21,A
model1,12,A
model1,15,G
model1,16,G
model1,17,A
model1,14,H
model1,20,B
model1,8,E
model1,6,J
model1,10,J
model1,22,A
model1,19,F
model1,18,E
model1,13,K
model1,11,G
model1,21,D
model1,9,N
model1,7,I
model1,15,H
model1,12,D
model1,16,H
model1,17,B
model1,23,A
model1,22,D
model1,20,C
model1,6,N
model1,18,G
model1,8,G
model1,11,H
model1,19,E
model1,10,N
model1,13,I
model1,21,F
model1,7,J
model1,24,A
model1,12,F
model1,23,D
model1,17,C
model1,20,A
model1,22,F
model1,25,A
model1,8,H
model1,19,G
model1,13,J
model1,18,M
model1,21,E
model1,7,N
model1,24,B
model1,12,E
model1,20,D
model1,23,F
model1,26,A
model1,17,A
model1,22,E
model1,19,M
model1,18,L
model1,25,B
model1,13,N
model1,24,C
model1,21,G
model1,27,A
model1,12,G
model1,23,E
model1,20,F
model1,26,B
model1,22,G
model1,17,D
model1,28,A
model1,19,L
model1,18,I
model1,25,C
model1,12,H
model1,21,H
model1,24,A
model1,27,B
model1,23,G
model1,26,C
model1,20,E
model1,29,A
model1,22,H
model1,19,I
model1,17,F
model1,28,D
model1,25,A
model1,18,J
model1,30,A
model1,27,C
model1,20,G
model1,24,D
model1,23,H
model1,29,D
model1,26,A
model1,31,A
model1,18,N
model1,19,J
model1,28,F
model1,25,D
model1,17,E
model1,30,B
model1,27,A
model1,20,M
model1,26,B
model1,32,A
model1,29,F
model1,24,F
model1,31,B
model1,19,N
model1,28,E
model1,25,F
model1,30,C
model1,33,A
model1,17,G
model1,27,D
model1,20,L
model1,32,D
model1,26,C
model1,29,E
model1,24,E
model1,31,C
model1,34,A
model1,28,G
model1,30,A
model1,25,E
model1,33,B
model1,32,F
model1,27,F
model1,17,H
model1,20,I
model1,29,G
model1,35,A
model1,26,A
model1,24,G
model1,31,A
model1,34,B
model1,28,M
model1,30,B
model1,36,A
model1,32,E
model1,25,G
model1,33,C
model1,27,E
model1,29,H
model1,35,B
model1,20,J
model1,24,H
model1,26,D
model1,34,C
model1,31,D
model1,37,A
model1,28,K
model1,30,C
model1,36,B
model1,32,G
model1,33,A
model1,20,N
model1,25,M
model1,38,A
model1,35,C
model1,27,G
model1,26,F
model1,37,D
model1,31,F
model1,34,A
model1,28,I
model1,30,A
model1,39,A
model1,36,C
model1,32,M
model1,33,D
model1,25,K
model1,26,E
model1,27,H
model1,35,A
model1,38,D
model1,34,D
model1,37,F
model1,40,A
model1,31,E
model1,30,D
model1,28,J
model1,36,A
model1,39,D
model1,32,L
model1,33,F
model1,25,I
model1,41,A
model1,35,B
model1,37,E
model1,26,G
model1,38,F
model1,40,D
model1,31,G
model1,30,F
model1,34,F
model1,28,N
model1,39,F
model1,42,A
model1,32,I
model1,36,B
model1,33,E
model1,41,D
model1,25,J
model1,35,C
model1,37,G
model1,26,M
model1,40,F
model1,43,A
model1,34,E
model1,38,E
model1,30,E
model1,31,M
model1,32,J
model1,42,D
model1,39,E
model1,36,C
model1,41,F
model1,33,G
model1,25,O
model1,44,A
model1,35,A
model1,37,H
model1,26,K
model1,40,E
model1,43,D
model1,30,G
model1,34,G
model1,31,K
model1,38,G
model1,42,F
model1,45,A
model1,32,O
model1,39,G
model1,41,E
model1,44,D
model1,33,M
model1,36,A
model1,35,D
model1,40,G
model1,30,M
model1,26,I
model1,46,A
model1,34,M
model1,38,M
model1,43,F
model1,31,I
model1,42,E
model1,45,B
model1,33,L
model1,39,M
model1,47,A
model1,44,F
model1,36,D
model1,41,G
model1,35,F
model1,40,H
model1,46,B
model1,30,K
model1,38,K
model1,26,J
model1,34,K
model1,43,E
model1,48,A
model1,31,J
model1,45,C
model1,42,G
model1,33,I
model1,44,E
model1,39,K
model1,47,B
model1,35,E
model1,36,F
model1,41,M
model1,30,I
model1,49,A
model1,38,I
model1,26,N
model1,46,C
model1,43,G
model1,45,A
model1,34,I
model1,42,H
model1,48,D
model1,47,C
model1,31,N
model1,44,G
model1,33,J
model1,50,A
model1,41,K
model1,36,E
model1,35,G
model1,39,I
model1,30,J
model1,38,J
model1,45,D
model1,49,B
model1,43,M
model1,46,A
model1,34,J
model1,48,F
model1,51,A
model1,47,A
model1,44,H
model1,33,O
model1,30,O
model1,50,D
model1,36,G
model1,35,H
model1,39,J
model1,41,I
model1,38,O
model1,49,C
model1,52,A
model1,46,D
model1,34,O
model1,45,F
model1,43,K
model1,48,E
model1,51,B
model1,47,D
model1,41,J
model1,53,A
model1,50,F
model1,49,A
model1,36,M
model1,52,B
model1,39,O
model1,43,I
model1,46,F
model1,45,E
model1,51,C
model1,48,G
model1,54,A
model1,53,B
model1,47,F
model1,49,D
model1,41,O
model1,50,E
model1,36,K
model1,52,C
model1,43,J
model1,45,G
model1,55,A
model1,46,E
model1,51,A
model1,48,H
model1,47,E
model1,54,B
model1,53,C
model1,52,A
model1,56,A
model1,50,G
model1,49,F
model1,43,O
model1,36,I
model1,51,D
model1,55,B
model1,45,M
model1,46,G
model1,47,G
model1,57,A
model1,53,A
model1,54,C
model1,49,E
model1,52,B
model1,50,M
model1,56,B
model1,51,F
model1,55,C
model1,36,J
model1,58,A
model1,45,L
model1,46,M
model1,53,B
model1,57,D
model1,47,H
model1,54,A
model1,50,K
model1,52,C
model1,56,C
model1,49,G
model1,59,A
model1,55,A
model1,36,O
model1,51,E
model1,58,B
model1,45,I
model1,53,C
model1,60,A
model1,46,K
model1,49,M
model1,50,I
model1,54,B
model1,56,A
model1,52,A
model1,57,F
model1,59,B
model1,55,B
model1,61,A
model1,51,G
model1,58,C
model1,46,I
model1,50,J
model1,60,D
model1,45,J
model1,54,C
model1,49,L
model1,53,A
model1,56,B
model1,59,C
model1,62,A
model1,57,E
model1,52,D
