model,case,event
model1,0,A
model1,1,A
model1,0,D
model1,2,A
model1,1,B
model1,0,F
model1,3,A
model1,2,D
model1,4,A
model1,1,C
model1,0,E
model1,3,B
model1,2,F
model1,5,A
model1,4,B
model1,1,A
model1,3,C
model1,0,I
model1,6,A
model1,5,B
model1,2,E
model1,7,A
model1,4,C
model1,3,A
model1,1,B
model1,0,J
model1,6,B
model1,8,A
model1,2,H
model1,5,C
model1,1,C
model1,7,D
model1,4,A
model1,0,K
model1,3,D
model1,9,A
model1,6,C
model1,8,B
model1,5,A
model1,10,A
model1,1,A
model1,7,F
model1,3,F
model1,4,B
model1,0,M
model1,9,D
model1,6,A
model1,8,C
model1,11,A
model1,7,E
model1,5,D
model1,4,C
model1,3,E
model1,1,D
model1,10,D
model1,0,N
model1,12,A
model1,6,B
model1,9,F
model1,11,D
model1,8,A
model1,7,I
model1,5,F
model1,10,F
model1,4,A
model1,13,A
model1,3,I
model1,1,F
model1,12,B
model1,6,C
model1,9,E
model1,11,F
model1,8,D
model1,14,A
model1,5,E
model1,7,J
model1,4,B
model1,13,D
model1,1,E
model1,10,E
model1,12,C
model1,3,J
model1,15,A
model1,6,A
model1,9,I
model1,11,E
model1,8,F
model1,5,H
model1,14,B
model1,10,I
model1,7,K
model1,13,F
model1,1,H
model1,16,A
model1,4,C
model1,12,A
model1,6,D
model1,3,L
model1,11,H
model1,15,D
model1,9,J
model1,8,E
model1,17,A
model1,7,M
model1,14,C
model1,13,E
model1,4,A
model1,10,J
model1,12,B
model1,16,D
model1,6,F
model1,3,M
model1,18,A
model1,15,F
model1,17,D
model1,8,H
model1,9,K
model1,13,I
model1,14,A
model1,4,D
model1,10,K
model1,7,O
model1,19,A
model1,12,C
model1,16,F
model1,3,O
model1,18,B
model1,6,E
model1,15,E
model1,20,A
model1,17,F
model1,9,M
model1,13,J
model1,10,M
model1,14,D
model1,4,F
model1,12,A
model1,19,B
model1,18,C
model1,6,I
model1,21,A
model1,16,E
model1,15,I
model1,20,D
model1,9,O
model1,13,K
model1,10,O
model1,4,E
model1,17,E
model1,14,F
model1,12,D
model1,22,A
model1,19,C
model1,18,A
model1,21,D
model1,16,I
model1,6,J
model1,15,J
model1,23,A
model1,20,F
model1,17,H
model1,13,M
model1,12,F
model1,14,E
model1,4,I
model1,18,B
model1,22,B
model1,19,A
model1,21,F
model1,24,A
model1,6,L
model1,16,J
model1,15,L
model1,23,D
model1,4,J
model1,13,N
model1,12,E
model1,20,E
model1,14,H
model1,25,A
model1,22,C
model1,18,C
model1,21,E
model1,6,M
model1,24,B
model1,19,D
model1,16,L
model1,26,A
model1,15,M
model1,23,F
model1,4,L
model1,12,I
model1,25,D
model1,18,A
model1,22,A
model1,20,I
model1,24,C
model1,19,F
model1,6,O
model1,27,A
model1,21,H
model1,16,M
model1,15,O
model1,4,M
model1,25,F
model1,23,E
model1,26,D
model1,22,B
model1,28,A
model1,24,A
model1,18,D
model1,12,J
model1,20,J
model1,27,B
model1,19,E
model1,16,O
model1,23,I
model1,29,A
model1,26,F
model1,4,O
model1,25,E
model1,28,B
model1,24,D
model1,22,C
model1,18,F
model1,12,K
model1,20,L
model1,27,C
model1,19,I
model1,30,A
model1,23,J
model1,29,D
model1,26,E
model1,25,I
model1,31,A
model1,28,C
model1,24,F
model1,12,M
model1,18,E
model1,22,A
model1,27,A
model1,20,M
model1,19,J
model1,30,D
model1,23,K
model1,32,A
model1,29,F
model1,26,H
model1,25,J
model1,28,A
model1,24,E
model1,31,D
model1,18,H
model1,12,O
model1,27,D
model1,22,B
model1,33,A
model1,19,K
model1,20,O
model1,30,F
model1,32,B
model1,29,E
model1,23,M
model1,28,D
model1,25,L
model1,34,A
model1,31,F
model1,27,F
model1,24,H
model1,22,C
model1,33,D
model1,30,E
model1,19,M
model1,35,A
model1,32,C
model1,29,I
model1,23,N
model1,31,E
model1,27,E
model1,25,M
model1,28,F
model1,34,B
model1,22,A
model1,36,A
model1,30,H
model1,33,F
model1,19,O
model1,35,D
model1,29,J
model1,32,A
model1,31,H
model1,27,H
model1,25,N
model1,37,A
model1,34,C
model1,28,E
model1,36,D
model1,22,D
model1,33,E
model1,35,F
model1,29,K
model1,38,A
model1,37,D
model1,32,B
model1,28,I
model1,34,A
model1,22,F
model1,36,F
model1,39,A
model1,35,E
model1,33,I
model1,29,M
model1,38,D
model1,37,F
model1,34,D
model1,32,C
model1,40,A
model1,28,J
model1,22,E
model1,35,I
model1,39,B
model1,36,E
model1,38,F
model1,29,N
model1,41,A
model1,33,J
model1,37,E
model1,34,F
model1,28,L
model1,32,A
model1,22,H
model1,35,J
model1,40,B
model1,42,A
model1,36,H
model1,39,C
model1,41,B
model1,33,K
model1,37,I
model1,38,E
model1,34,E
model1,28,M
model1,32,B
model1,43,A
model1,35,K
model1,42,D
model1,40,C
model1,37,J
model1,38,I
model1,39,A
model1,44,A
model1,41,C
model1,33,M
model1,28,N
model1,34,I
model1,32,C
model1,43,D
model1,42,F
model1,35,M
model1,45,A
model1,44,D
model1,40,A
model1,37,K
model1,38,J
model1,39,B
model1,41,A
model1,34,J
model1,33,O
model1,32,A
model1,46,A
model1,43,F
model1,42,E
model1,35,N
model1,40,B
model1,44,F
model1,37,M
model1,45,B
model1,39,C
model1,38,K
model1,41,B
model1,47,A
model1,34,K
model1,43,E
model1,32,B
model1,46,D
model1,42,H
model1,44,E
model1,48,A
model1,40,C
model1,38,M
model1,45,C
model1,39,A
model1,37,O
model1,34,M
model1,41,C
model1,47,D
model1,49,A
model1,43,H
model1,32,C
model1,46,F
model1,39,B
model1,48,D
model1,40,A
model1,44,I
model1,45,A
model1,38,N
model1,34,N
model1,41,A
model1,47,F
model1,49,D
model1,32,A
model1,46,E
model1,45,B
model1,40,D
model1,44,J
model1,48,F
model1,39,C
model1,41,B
model1,47,E
model1,49,F
model1,32,D
model1,46,H
model1,44,K
model1,45,C
model1,48,E
model1,39,A
model1,40,F
model1,41,C
model1,47,H
model1,49,E
model1,32,F
model1,44,M
model1,45,A
model1,48,H
model1,39,D
model1,40,E
model1,41,A
model1,49,I
model1,32,E
model1,44,O
model1,45,B
model1,40,I
model1,39,F
model1,41,D
model1,32,H
model1,49,J
model1,40,J
model1,45,C
model1,39,E
model1,41,F
model1,49,K
model1,40,L
model1,45,A
model1,39,H
model1,41,E
model1,49,M
model1,40,M
model1,45,B
model1,41,H
model1,49,N
model1,40,N
model1,45,C
model1,45,A
model1,45,B
model1,45,C
model1,45,A
model1,45,B
model1,45,C
model1,45,A
model1,45,B
model1,45,C
model1,45,A
model1,45,B
model1,45,C
model1,45,A
model1,45,B
model1,45,C
model1,45,A
model1,45,B
model1,45,C
model1,45,A
model1,45,D
model1,45,F
model1,45,E
model1,45,H
model2,50,A
model2,50,B
model2,50,C
model2,50,A
model2,51,A
model2,50,D
model2,51,B
model2,50,F
model2,50,E
model2,51,C
model2,51,A
model2,50,I
model2,51,D
model2,52,A
model2,50,J
model2,51,F
model2,52,B
model2,50,K
model2,50,M
model2,51,E
model2,52,C
model2,50,O
model2,51,I
model2,52,A
model2,53,A
model2,51,J
model2,52,D
model2,53,B
model2,52,F
model2,51,L
model2,53,C
model2,52,E
model2,51,M
model2,53,A
model2,52,I
model2,51,O
model2,54,A
model2,52,J
model2,53,D
model2,54,D
model2,52,L
model2,53,F
model2,52,M
model2,54,F
model2,53,E
model2,52,N
model2,53,H
model2,54,E
model2,55,A
model2,54,I
model2,55,D
model2,54,J
model2,55,F
model2,54,K
model2,54,M
model2,55,E
model2,54,N
model2,56,A
model2,55,I
model2,55,J
model2,56,B
model2,56,C
model2,55,L
model2,55,M
model2,56,A
model2,55,O
model2,57,A
model2,56,D
model2,57,D
model2,56,F
model2,56,E
model2,57,F
model2,57,E
model2,56,H
model2,58,A
