model,case,event
model1,0,A
model1,1,A
model1,0,F
model1,2,A
model1,1,F
model1,0,D
model1,3,A
model1,1,D
model1,2,B
model1,4,A
model1,0,E
model1,3,B
model1,5,A
model1,2,C
model1,1,E
model1,4,B
model1,0,G
model1,3,C
model1,6,A
model1,2,A
model1,5,B
model1,1,G
model1,4,C
model1,7,A
model1,0,H
model1,3,A
model1,6,F
model1,2,F
model1,8,A
model1,5,C
model1,1,H
model1,4,A
model1,7,F
model1,9,A
model1,6,D
model1,3,F
model1,5,A
model1,2,D
model1,8,F
model1,7,D
model1,10,A
model1,4,F
model1,6,E
model1,9,B
model1,3,D
model1,11,A
model1,5,F
model1,8,D
model1,2,E
model1,10,F
model1,4,D
model1,7,E
model1,6,G
model1,12,A
model1,9,C
model1,3,E
model1,11,F
model1,5,D
model1,8,E
model1,2,G
model1,13,A
model1,12,F
model1,4,E
model1,7,G
model1,10,D
model1,6,H
model1,3,G
model1,9,A
model1,11,D
model1,8,G
model1,14,A
model1,2,J
model1,5,E
model1,4,G
model1,13,B
model1,7,J
model1,12,D
model1,11,E
model1,10,E
model1,15,A
model1,9,F
model1,3,H
model1,8,J
model1,14,F
model1,5,G
model1,13,C
model1,12,E
model1,16,A
model1,7,L
model1,4,J
model1,2,K
model1,11,G
model1,15,F
model1,10,G
model1,9,D
model1,13,A
model1,17,A
model1,8,L
model1,14,D
model1,12,G
model1,16,B
model1,4,L
model1,7,M
model1,2,I
model1,5,J
model1,11,J
model1,10,J
model1,18,A
model1,15,D
model1,9,E
model1,13,F
model1,17,B
model1,8,M
model1,12,H
model1,16,C
model1,14,E
model1,19,A
model1,10,K
model1,5,K
model1,4,M
model1,7,O
model1,2,M
model1,11,L
model1,15,E
model1,18,B
model1,13,D
model1,9,G
model1,17,C
model1,20,A
model1,8,N
model1,16,A
model1,14,G
model1,19,F
model1,10,I
model1,5,I
model1,2,N
model1,4,N
model1,15,G
model1,18,C
model1,11,M
model1,21,A
model1,9,H
model1,13,E
model1,20,F
model1,16,B
model1,17,A
model1,10,M
model1,22,A
model1,19,D
model1,14,J
model1,15,H
model1,5,M
model1,11,O
model1,18,A
model1,21,F
model1,20,D
model1,13,G
model1,23,A
model1,16,C
model1,19,E
model1,14,L
model1,22,B
model1,17,F
model1,10,N
model1,21,D
model1,24,A
model1,13,H
model1,5,N
model1,23,F
model1,18,F
model1,20,E
model1,16,A
model1,19,G
model1,14,M
model1,22,C
model1,25,A
model1,24,F
model1,21,E
model1,17,D
model1,23,D
model1,18,D
model1,16,B
model1,26,A
model1,20,G
model1,22,A
model1,19,H
model1,24,D
model1,25,B
model1,14,O
model1,17,E
model1,21,G
model1,27,A
model1,23,E
model1,16,C
model1,26,F
model1,18,E
model1,20,H
model1,22,F
model1,24,E
model1,28,A
model1,25,C
model1,17,G
model1,21,H
model1,23,G
model1,26,D
model1,27,B
model1,16,A
model1,29,A
model1,18,G
model1,22,D
model1,28,B
model1,24,G
model1,25,A
model1,17,H
model1,26,E
model1,27,C
model1,23,H
model1,30,A
model1,18,J
model1,16,B
model1,29,F
model1,28,C
model1,22,E
model1,24,J
model1,31,A
model1,27,A
model1,25,B
model1,26,G
model1,30,B
model1,18,K
model1,16,C
model1,32,A
model1,29,D
model1,28,A
model1,22,G
model1,31,F
model1,24,L
model1,27,F
model1,33,A
model1,26,H
model1,25,C
model1,18,I
model1,30,C
model1,29,E
model1,16,A
model1,31,D
model1,28,B
model1,32,F
model1,22,J
model1,24,M
model1,34,A
model1,27,D
model1,33,F
model1,29,G
model1,25,A
model1,18,M
model1,28,C
model1,30,A
model1,35,A
model1,16,B
model1,31,E
model1,22,L
model1,27,E
model1,32,D
model1,34,F
model1,24,N
model1,29,H
model1,36,A
model1,33,D
model1,18,O
model1,35,B
model1,30,F
model1,31,G
model1,28,A
model1,25,F
model1,16,C
model1,34,D
model1,32,E
model1,37,A
model1,22,M
model1,27,G
model1,33,E
model1,36,F
model1,28,B
model1,25,D
model1,31,J
model1,16,A
model1,35,C
model1,38,A
model1,34,E
model1,22,N
model1,30,D
model1,32,G
model1,37,F
model1,27,J
model1,33,G
model1,39,A
model1,28,C
model1,36,D
model1,25,E
model1,31,K
model1,16,B
model1,38,B
model1,34,G
model1,32,H
model1,30,E
model1,35,A
model1,40,A
model1,37,D
model1,28,A
model1,27,L
model1,39,B
model1,36,E
model1,33,H
model1,25,G
model1,16,C
model1,31,I
model1,38,C
model1,34,H
model1,41,A
model1,30,G
model1,35,F
model1,40,F
model1,37,E
model1,27,M
model1,16,A
model1,36,G
model1,39,C
model1,25,J
model1,31,M
model1,42,A
model1,28,B
model1,38,A
model1,41,B
model1,40,D
model1,43,A
model1,35,D
model1,30,H
model1,37,G
model1,36,H
model1,39,A
model1,27,N
model1,16,F
model1,42,F
model1,25,K
model1,31,O
model1,38,F
model1,28,C
model1,41,C
model1,44,A
model1,40,E
model1,43,F
model1,35,E
model1,37,H
model1,42,D
model1,39,F
model1,38,D
model1,25,I
model1,45,A
model1,16,D
model1,41,A
model1,28,A
model1,44,F
model1,40,G
model1,35,G
model1,46,A
model1,43,D
model1,42,E
model1,38,E
model1,39,D
model1,25,M
model1,45,F
model1,41,F
model1,16,E
model1,28,B
model1,47,A
model1,44,D
model1,40,H
model1,43,E
model1,46,F
model1,35,H
model1,42,G
model1,38,G
model1,39,E
model1,45,D
model1,48,A
model1,25,N
model1,41,D
model1,16,G
model1,28,C
model1,47,B
model1,44,E
model1,43,G
model1,49,A
model1,45,E
model1,42,J
model1,46,D
model1,39,G
model1,38,H
model1,48,B
model1,41,E
model1,28,A
model1,16,J
model1,50,A
model1,47,C
model1,43,J
model1,49,B
model1,44,G
model1,42,L
model1,45,G
model1,46,E
model1,39,H
model1,41,G
model1,48,C
model1,51,A
model1,28,F
model1,47,A
model1,16,K
model1,43,L
model1,46,G
model1,49,C
model1,50,B
model1,44,H
model1,42,M
model1,45,H
model1,52,A
model1,41,J
model1,48,A
model1,51,B
model1,28,D
model1,16,I
model1,47,B
model1,53,A
model1,52,B
model1,43,M
model1,46,H
model1,49,A
model1,50,C
model1,41,K
model1,42,O
model1,54,A
model1,48,B
model1,51,C
model1,28,E
model1,47,C
model1,16,M
model1,53,F
model1,52,C
model1,43,N
model1,50,A
model1,49,B
model1,55,A
model1,41,I
model1,54,B
model1,48,C
model1,51,A
model1,16,O
model1,47,A
model1,28,G
model1,53,D
model1,56,A
model1,52,A
model1,49,C
model1,55,F
model1,50,F
model1,41,M
model1,57,A
model1,54,C
model1,48,A
model1,51,B
model1,28,J
model1,47,B
model1,52,B
model1,53,E
model1,56,B
model1,49,A
model1,50,D
model1,58,A
model1,55,D
model1,41,O
model1,57,B
model1,28,K
model1,51,C
model1,54,A
model1,48,B
model1,59,A
model1,52,C
model1,56,C
model1,47,C
model1,53,G
model1,49,B
model1,55,E
model1,50,E
model1,58,F
model1,51,A
model1,60,A
model1,28,I
model1,57,C
model1,48,C
model1,47,A
model1,54,B
model1,53,H
model1,59,F
model1,55,G
model1,56,A
model1,52,A
model1,49,C
model1,61,A
model1,50,G
model1,58,D
model1,48,A
model1,51,F
model1,28,M
model1,60,B
model1,54,C
model1,47,B
model1,57,A
model1,52,B
model1,56,B
model1,55,H
model1,62,A
model1,59,D
model1,49,A
model1,58,E
model1,61,F
model1,50,J
model1,48,B
model1,60,C
model1,28,N
model1,51,D
model1,63,A
model1,57,B
model1,52,C
model1,54,A
model1,56,C
model1,62,F
model1,47,C
model1,59,E
model1,49,F
model1,58,G
model1,64,A
model1,48,C
model1,61,D
model1,50,L
model1,57,C
model1,60,A
model1,63,F
model1,52,A
model1,51,E
model1,54,F
model1,47,A
model1,56,A
model1,62,D
model1,65,A
model1,59,G
model1,49,D
model1,64,F
model1,58,H
model1,48,A
model1,57,A
