model,case,event
model1,0,A
model1,1,A
model1,0,B
model1,2,A
model1,1,D
model1,0,C
model1,3,A
model1,2,D
model1,1,F
model1,4,A
model1,0,A
model1,3,D
model1,5,A
model1,2,F
model1,1,E
model1,0,B
model1,4,B
model1,6,A
model1,3,F
model1,5,B
model1,2,E
model1,1,G
model1,7,A
model1,4,C
model1,0,C
model1,6,D
model1,3,E
model1,5,C
model1,8,A
model1,1,H
model1,2,G
model1,7,D
model1,0,A
model1,4,A
model1,9,A
model1,3,G
model1,6,F
model1,5,A
model1,8,D
model1,2,H
model1,10,A
model1,7,F
model1,0,B
model1,4,D
model1,9,B
model1,3,I
model1,6,E
model1,11,A
model1,5,D
model1,8,F
model1,10,D
model1,0,C
model1,7,E
model1,12,A
model1,4,F
model1,9,C
model1,3,J
model1,6,G
model1,11,B
model1,5,F
model1,8,E
model1,13,A
model1,10,F
model1,0,A
model1,4,E
model1,12,B
model1,7,G
model1,3,K
model1,9,A
model1,11,C
model1,14,A
model1,6,I
model1,8,G
model1,5,E
model1,10,E
model1,13,D
model1,4,G
model1,12,C
model1,0,B
model1,15,A
model1,7,I
model1,9,D
model1,14,B
model1,3,M
model1,11,A
model1,6,J
model1,5,G
model1,8,H
model1,10,G
model1,16,A
model1,13,F
model1,4,H
model1,0,C
model1,12,A
model1,7,J
model1,9,F
model1,15,B
model1,11,B
model1,3,N
model1,14,C
model1,17,A
model1,10,H
model1,16,D
model1,5,I
model1,6,L
model1,13,E
model1,15,C
model1,7,K
model1,12,D
model1,0,A
model1,18,A
model1,11,C
model1,9,E
model1,14,A
model1,17,D
model1,16,F
model1,5,J
model1,19,A
model1,6,M
model1,13,G
model1,18,D
model1,0,B
model1,15,A
model1,12,F
model1,7,M
model1,11,A
model1,14,B
model1,9,G
model1,20,A
model1,17,F
model1,16,E
model1,5,K
model1,6,O
model1,19,B
model1,18,F
model1,0,C
model1,13,H
model1,12,E
model1,21,A
model1,15,D
model1,7,O
model1,9,H
model1,14,C
model1,11,D
model1,17,E
model1,16,G
model1,20,B
model1,5,M
model1,22,A
model1,0,A
model1,19,C
model1,12,G
model1,18,E
model1,14,A
model1,15,F
model1,11,F
model1,21,B
model1,20,C
model1,16,I
model1,23,A
model1,17,G
model1,5,O
model1,0,B
model1,18,G
model1,22,D
model1,19,A
model1,14,D
model1,24,A
model1,12,H
model1,21,C
model1,11,E
model1,15,E
model1,20,A
model1,16,J
model1,17,I
model1,23,D
model1,25,A
model1,22,F
model1,18,I
model1,19,B
model1,0,C
model1,24,D
model1,14,F
model1,21,A
model1,20,D
model1,11,G
model1,16,K
model1,26,A
model1,15,G
model1,17,J
model1,23,F
model1,25,B
model1,22,E
model1,18,J
model1,0,A
model1,24,F
model1,19,C
model1,27,A
model1,14,E
model1,21,D
model1,16,M
model1,26,B
model1,11,H
model1,17,K
model1,20,F
model1,25,C
model1,23,E
model1,15,I
model1,22,G
model1,28,A
model1,0,D
model1,24,E
model1,18,L
model1,19,A
model1,27,B
model1,16,O
model1,21,F
model1,14,G
model1,26,C
model1,17,M
model1,29,A
model1,20,E
model1,23,G
model1,25,A
model1,22,I
model1,28,B
model1,15,J
model1,0,F
model1,27,C
model1,18,M
model1,24,G
model1,19,D
model1,30,A
model1,21,E
model1,17,N
model1,14,H
model1,20,G
model1,29,D
model1,26,A
model1,23,I
model1,31,A
model1,0,E
model1,22,J
model1,15,K
model1,25,D
model1,27,A
model1,28,C
model1,24,I
model1,19,F
model1,18,N
model1,30,D
model1,21,G
model1,20,I
model1,32,A
model1,23,J
model1,29,F
model1,26,B
model1,31,D
model1,25,F
model1,0,G
model1,22,K
model1,15,M
model1,28,A
model1,27,D
model1,21,H
model1,19,E
model1,33,A
model1,30,F
model1,24,J
model1,23,L
model1,32,D
model1,20,J
model1,26,C
model1,29,E
model1,34,A
model1,31,F
model1,22,M
model1,28,D
model1,0,I
model1,15,N
model1,25,E
model1,27,F
model1,19,G
model1,30,E
model1,24,L
model1,33,B
model1,23,M
model1,29,G
model1,20,L
model1,26,A
model1,32,F
model1,35,A
model1,31,E
model1,22,O
model1,34,B
model1,0,J
model1,28,F
model1,27,E
model1,19,I
model1,25,G
model1,33,C
model1,36,A
model1,24,M
model1,30,G
model1,29,H
model1,23,O
model1,20,M
model1,32,E
model1,35,B
model1,26,B
model1,31,G
model1,0,L
model1,37,A
model1,28,E
model1,34,C
model1,19,J
model1,27,G
model1,25,I
model1,24,N
model1,30,I
model1,36,B
model1,33,A
model1,20,O
model1,38,A
model1,31,I
model1,0,M
model1,35,C
model1,26,C
model1,32,G
model1,37,D
model1,19,K
model1,34,A
model1,25,J
model1,28,G
model1,27,H
model1,36,C
model1,39,A
model1,33,D
model1,30,J
model1,26,A
model1,32,I
model1,0,O
model1,38,D
model1,35,A
model1,31,J
model1,34,B
model1,37,F
model1,40,A
model1,28,I
model1,25,L
model1,19,M
model1,39,D
model1,36,A
model1,30,L
model1,33,F
model1,41,A
model1,32,J
model1,28,J
model1,26,B
model1,35,B
model1,37,E
model1,31,K
model1,34,C
model1,38,F
model1,25,M
model1,40,B
model1,19,N
model1,39,F
model1,42,A
model1,36,D
model1,30,M
model1,33,E
model1,41,B
model1,26,C
model1,32,L
model1,35,C
model1,38,E
model1,31,M
model1,28,L
model1,43,A
model1,37,G
model1,40,C
model1,25,N
model1,34,A
model1,39,E
model1,42,B
model1,36,F
model1,30,O
model1,41,C
model1,33,G
model1,44,A
model1,35,A
model1,32,M
model1,28,M
model1,26,A
model1,38,G
model1,31,N
model1,43,D
model1,40,A
model1,34,B
model1,37,I
model1,45,A
model1,39,G
model1,42,C
model1,36,E
model1,33,I
model1,41,A
model1,32,O
model1,44,B
model1,35,D
model1,38,I
model1,28,N
model1,46,A
model1,43,F
model1,26,B
model1,40,D
model1,42,A
model1,34,C
model1,37,J
model1,45,D
model1,39,H
model1,36,G
model1,33,J
model1,47,A
model1,44,C
model1,35,F
model1,41,B
model1,38,J
model1,43,E
model1,26,C
model1,42,B
model1,46,B
model1,40,F
model1,48,A
model1,37,L
model1,34,A
model1,45,F
model1,36,I
model1,41,C
model1,33,L
model1,35,E
model1,44,A
model1,47,B
model1,43,G
model1,38,K
model1,49,A
model1,26,A
model1,42,C
model1,40,E
model1,46,C
model1,45,E
model1,37,M
model1,41,A
model1,36,J
model1,34,B
model1,33,M
model1,35,G
model1,48,D
model1,50,A
model1,47,C
model1,44,D
model1,38,M
model1,49,D
model1,26,D
model1,43,I
model1,42,A
model1,46,A
model1,40,G
model1,45,G
model1,37,N
model1,51,A
model1,33,N
model1,47,A
model1,48,F
model1,36,K
model1,41,D
model1,34,C
model1,35,H
model1,44,F
model1,50,D
model1,49,F
model1,43,J
model1,38,N
model1,26,F
model1,52,A
model1,46,B
model1,42,B
model1,45,H
model1,40,H
model1,51,D
model1,47,B
model1,44,E
model1,41,F
model1,34,A
model1,53,A
model1,48,E
model1,36,M
model1,43,L
model1,50,F
model1,49,E
model1,26,E
model1,46,C
model1,42,C
model1,52,B
model1,54,A
model1,51,F
model1,44,G
model1,47,C
model1,36,O
model1,43,M
model1,48,G
model1,41,E
model1,34,D
model1,53,B
model1,50,E
model1,49,G
model1,42,A
model1,55,A
model1,26,G
model1,46,A
model1,52,C
model1,51,E
model1,44,I
model1,54,D
model1,43,O
model1,34,F
model1,47,A
model1,48,I
model1,56,A
model1,50,G
model1,53,C
model1,41,G
model1,49,I
model1,26,H
model1,55,B
model1,52,A
model1,42,B
model1,46,B
model1,51,G
model1,57,A
model1,44,J
model1,54,F
model1,50,H
model1,56,B
model1,47,D
model1,34,E
model1,53,A
model1,48,J
model1,41,H
model1,55,C
model1,49,J
model1,42,C
model1,58,A
model1,52,B
model1,46,C
model1,44,L
model1,57,B
model1,54,E
model1,51,I
model1,56,C
